respondent_id,variety_of_choice,electronics,furniture,quality_of_service,low_prices,return_policy,income,age
1,8,3,6,3,2,2,16,28
2,6,3,1,4,7,1,22,27
3,6,1,2,4,9,6,18,22
4,8,3,3,4,8,7,18,29
5,4,6,3,4,2,5,35,51
6,8,4,3,5,10,6,13,24
7,7,2,2,2,8,7,22,27
8,7,5,3,2,2,3,19,26
9,10,7,5,1,5,4,14,27
10,8,4,0,4,9,1,16,28
11,9,8,2,1,5,2,82,34
12,4,4,2,8,2,3,78,49
13,10,3,6,1,3,3,17,22
14,6,5,2,4,3,6,47,63
15,7,3,0,2,7,6,17,24
16,9,1,7,4,5,2,20,27
17,10,1,7,4,4,3,21,29
18,5,2,1,3,8,7,18,23
19,10,5,4,4,3,3,14,28
20,5,5,2,9,2,6,48,67
21,7,3,1,9,2,3,84,46
22,8,6,1,2,5,4,15,26
23,8,4,1,4,7,8,16,23
24,4,3,0,7,1,3,36,44
25,10,5,7,1,4,4,54,45
26,10,6,6,2,2,2,77,46
27,10,5,7,2,5,2,13,26
28,4,7,2,2,4,5,15,33
29,7,1,1,1,9,5,18,23
30,10,8,4,4,5,5,60,49
31,5,4,2,5,10,5,14,30
32,10,5,4,1,2,2,15,22
33,7,6,5,3,5,3,48,40
34,10,5,7,1,2,5,14,23
35,7,3,2,2,10,5,16,24
36,8,4,2,1,7,5,20,25
37,7,1,0,2,7,5,17,29
38,6,4,2,9,4,4,15,35
39,9,6,6,4,3,3,21,27
40,10,8,5,3,4,5,76,63
41,5,2,1,3,8,7,13,21
42,10,5,4,4,3,3,59,55
43,5,5,2,5,2,9,64,36
44,7,3,1,9,2,3,75,52
45,8,6,6,2,5,4,57,38
46,8,4,1,4,7,1,15,25
47,4,3,0,7,1,3,71,62
48,10,5,7,1,4,4,15,26
49,10,1,6,2,2,2,15,25
50,10,5,7,2,5,2,22,26
51,4,5,2,8,4,5,15,21
52,10,5,4,1,2,2,15,24
53,7,6,5,3,5,3,52,34
54,10,5,7,1,2,5,17,27
55,7,3,2,2,10,5,16,26
56,8,4,2,3,7,5,15,23
57,7,1,0,2,7,5,14,28
58,6,4,2,9,4,4,49,40
59,9,3,6,4,3,3,21,22
60,10,8,4,3,4,5,67,33
61,5,2,1,3,8,7,13,23
62,10,5,4,4,3,3,41,68
63,5,5,2,4,2,6,64,32
64,7,3,1,9,2,3,58,42
65,8,6,1,2,5,4,63,26
66,8,4,1,3,7,8,13,24
67,4,3,0,7,1,3,16,29
68,10,5,7,1,4,4,15,29
69,10,6,6,2,2,2,18,23
70,10,5,7,2,5,2,22,26
71,4,8,2,1,4,5,60,46
72,7,1,1,5,9,5,18,30
73,10,8,4,4,5,5,63,39
74,5,4,2,3,10,5,20,29
75,10,5,4,1,2,2,17,27
76,7,6,5,3,5,3,72,42
77,8,4,3,5,10,6,21,28
